city_name,magnitude_of_delay,delay_in_seconds,affected_roads,record_date,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_precipitation,avg_rain,incidents
Guimaraes,UNDEFINED,0,",",2021-03-15 23:00,DARK,12.0,1013.0,70.0,1.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,385,"N101,",2021-12-25 18:00,DARK,12.0,1007.0,91.0,1.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,69,",",2021-03-12 15:00,LIGHT,14.0,1025.0,64.0,0.0,0.0,Sem Chuva,Low
Guimaraes,MAJOR,2297,"N101,R206,N105,N101,N101,N101,N101,N101,N101,N101,N101",2021-09-29 09:00,LIGHT,15.0,1028.0,75.0,1.0,0.0,Sem Chuva,Very_High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-06-13 11:00,LIGHT,27.0,1020.0,52.0,1.0,0.0,Sem Chuva,High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,N101,N101,N101",2021-12-07 23:00,DARK,9.0,1015.0,94.0,0.0,0.0,Sem Chuva,Medium
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-12-05 05:00,DARK,8.0,1026.0,87.0,1.0,0.0,Sem Chuva,Low
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-04-14 23:00,DARK,16.0,1012.0,71.0,2.0,0.0,Sem Chuva,High
Guimaraes,UNDEFINED,1368,"N101,N101,N101,N101,N101,N101,N101,N101,N101,",2021-05-01 12:00,LIGHT,14.0,1017.0,67.0,5.0,0.0,Sem Chuva,Very_High
Guimaraes,MAJOR,10431,"N101,N101,N206,N105,N309,N309,N101,N101,IC5,N101,N101,N105,N101,N206,N101,N101,N101,IC5,N101,N101,N105,N101,N101,N105,N309,N101,N101,N101,N101,IC5,N101,N105",2021-10-11 18:00,LIGHT,23.0,1018.0,40.0,0.0,0.0,Sem Chuva,Very_High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-07-27 20:00,LIGHT,23.0,1015.0,67.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-11-24 12:00,LIGHT,11.0,1017.0,76.0,2.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,",",2021-03-19 08:00,LIGHT,7.0,1020.0,60.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,633,"N101,N101,N101,N101,N105,N101,N101",2021-11-06 20:00,DARK,9.0,1030.0,65.0,1.0,0.0,Sem Chuva,Medium
Guimaraes,UNDEFINED,167,"N101,N101,N101,N101,N101,",2021-11-01 13:00,LIGHT,16.0,1016.0,67.0,0.0,0.0,Sem Chuva,Low
Guimaraes,UNDEFINED,121,",",2021-01-20 10:00,LIGHT,11.0,1003.0,91.0,2.0,0.0,chuva moderada,Medium
Guimaraes,UNDEFINED,0,"N101,N101,N101",2021-10-16 19:00,DARK,17.0,1018.0,83.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,",",2021-03-06 01:00,DARK,11.0,1018.0,82.0,1.0,0.0,Sem Chuva,None
Guimaraes,MAJOR,1364,"N101,N101,N101,N101,N101,N101,N101,N101",2021-11-13 12:00,LIGHT,19.0,1020.0,60.0,0.0,0.0,Sem Chuva,High
Guimaraes,MAJOR,2186,"N101,N101,N101,N101,N101,N101,N101,N101",2021-11-20 11:00,LIGHT,15.0,1020.0,64.0,1.0,0.0,Sem Chuva,High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-10-08 03:00,DARK,15.0,1019.0,61.0,1.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-12-12 08:00,LIGHT,6.0,1025.0,88.0,2.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,463,",",2021-02-02 15:00,LIGHT,12.0,1013.0,92.0,3.0,0.0,Sem Chuva,Low
Guimaraes,UNDEFINED,612,"N101,N101,N101,N101,N101,N101,N101,N101,",2021-04-05 10:00,LIGHT,17.0,1017.0,67.0,1.0,0.0,Sem Chuva,Very_High
Guimaraes,UNDEFINED,0,",",2021-12-27 07:00,DARK,12.0,1013.0,94.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-04-25 07:00,LIGHT,13.0,1008.0,91.0,2.0,0.0,chuva fraca,High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-04-18 05:00,DARK,9.0,1019.0,66.0,1.0,0.0,Sem Chuva,High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-11-13 07:00,LOW_LIGHT,8.0,1020.0,76.0,2.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-06-25 21:00,DARK,19.0,1016.0,56.0,0.0,0.0,Sem Chuva,Medium
Guimaraes,UNDEFINED,64,"",2021-01-22 09:00,LIGHT,8.0,1012.0,91.0,4.0,0.0,Sem Chuva,Medium
Guimaraes,UNDEFINED,0,",",2021-03-04 20:00,DARK,13.0,1014.0,94.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-06-03 17:00,LIGHT,18.0,1019.0,55.0,0.0,0.0,Sem Chuva,High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-04-30 21:00,DARK,11.0,1012.0,72.0,2.0,0.0,Sem Chuva,High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-12-16 03:00,DARK,8.0,1025.0,56.0,2.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101",2021-12-01 16:00,LIGHT,10.0,1020.0,93.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-11-18 03:00,DARK,10.0,1023.0,65.0,4.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-10-24 09:00,LIGHT,14.0,1023.0,75.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101,",2021-06-30 01:00,DARK,12.0,1018.0,90.0,0.0,0.0,Sem Chuva,Medium
Guimaraes,MAJOR,6372,"N101,N101,N101,N101,N101,N101,N101,N101,N206,N105,N101,N101,N105,N105,N101,N101,N101,N101,R206,N101,N101,N105",2021-04-19 18:00,LIGHT,16.0,1017.0,47.0,0.0,0.0,Sem Chuva,Very_High
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-11-15 00:00,DARK,8.0,1020.0,55.0,1.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-12-20 04:00,DARK,12.0,1017.0,73.0,2.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101,N101,N101,N101",2021-07-22 23:00,DARK,16.0,1016.0,91.0,0.0,0.0,Sem Chuva,None
Guimaraes,UNDEFINED,0,"N101,N101",2021-11-27 23:00,DARK,4.0,1021.0,82.0,0.0,0.0,Sem Chuva,None
